population2021,assault_rate2017,assault_rate2018,assault_rate2019,assault_rate2020,assault_rate2021,auto_theft_rate2017,auto_theft_rate2018,auto_theft_rate2019,auto_theft_rate2020,auto_theft_rate2021,break_and_enter_rate2017,break_and_enter_rate2018,break_and_enter_rate2019,break_and_enter_rate2020,break_and_enter_rate2021,robbery_rate2017,robbery_rate2018,robbery_rate2019,robbery_rate2020,robbery_rate2021,theft_over_rate2017,theft_over_rate2018,theft_over_rate2019,theft_over_rate2020,theft_over_rate2021,homicide_rate2017,homicide_rate2018,homicide_rate2019,homicide_rate2020,homicide_rate2021,shootings_rate2017,shootings_rate2018,shootings_rate2019,shootings_rate2020,shootings_rate2021,theftfrom_motor_vehicle_rate2017,theftfrom_motor_vehicle_rate2018,theftfrom_motor_vehicle_rate2019,theftfrom_motor_vehicle_rate2020,theftfrom_motor_vehicle_rate2021
12152,492.7386,613.8107,479.1124,663.9004,576.0369,216.1134,170.503,277.3809,190.8714,197.4984,112.379,264.2796,151.2986,190.8714,222.1857,190.1798,161.9778,92.46028,91.28631,57.60369,34.57815,25.57545,67.24384,24.89627,8.229098,8.644537,8.525149,8.40548,NA,24.68729427,25.93361,42.62575,NA,24.89627,16.45819618,181.5353,179.0281,235.3535,257.2614,279.7893351
20367,683.2426,680.3066,717.2593,590.3949,599.0082,51.37162,101.5383,140.4424,104.1873,211.1258,200.3493,131.9998,280.8848,124.0325,191.4862,113.0176,50.76915,70.2212,99.22604,58.91884,10.27432,30.46149,35.1106,49.61302,9.819806,10.27432,NA,NA,NA,4.909903275,25.68581,30.46149,25.079,19.84521,19.6396131,159.252,401.0763,250.79,386.9815,324.0536161
9869,469.3856,641.5563,512.9257,305.5923,405.3096,NA,93.12914,41.03406,81.49129,192.522,177.3235,289.7351,133.3607,152.7962,60.79643,62.58475,72.43378,123.1022,50.93206,81.06191,20.86158,NA,30.77554,40.74564,50.6637,NA,NA,NA,NA,NA,10.43079,10.34768,NA,10.18641,NA,219.0466,217.3013,359.048,285.2195,212.7875165
12600,294.5253,372.3449,455.6375,494.5679,365.0794,69.30007,152.3229,41.42159,162.1534,158.7302,233.8877,194.6348,281.6668,291.8761,277.7778,86.62508,50.77431,66.27454,24.32301,7.936508,60.63756,16.92477,16.56864,48.64602,31.74603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.6001,186.1725,256.8138,235.1224,63.49206349
21842,2316.542,2287.09,1945.052,2023.967,1854.226,160.6551,130.4043,213.9557,273.6365,100.7234,554.519,1208.747,1351.811,825.6275,457.8335,518.2421,376.1661,247.9942,179.2791,132.7717,139.9254,125.3887,179.9173,127.3825,100.7234,5.182421,NA,NA,NA,9.156670635,46.64179,25.07774,14.58789,28.30723,32.04834722,2140.34,1399.338,1638.707,919.9849,421.2068492
10564,237.2357,332.7284,306.3544,116.2002,302.9156,226.9211,120.9921,296.472,174.3004,331.3139,319.7524,181.4882,247.06,203.3504,85.195,154.7189,161.3228,128.4712,38.73342,132.5256,61.88757,40.33071,39.5296,29.05006,28.39833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.8087,272.2323,227.2952,145.2503,170.3900038
10883,391.1841,320.8152,429.9066,315.0482,248.0934,200.3626,254.765,289.7196,157.5241,192.9615,181.2804,207.5863,252.3364,277.9837,119.4524,162.1983,188.7149,186.9159,64.86286,55.13186,19.08215,18.87148,18.69159,27.79837,73.50914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.9036,198.1506,336.4486,148.258,229.7160709
12736,175.5156,110.6665,222.9746,200.8032,125.6281,105.3093,195.7947,165.1664,305.2209,541.7714,587.9772,357.5381,289.0412,265.0602,196.294,43.87889,68.10249,123.8748,40.16064,15.70352,70.20623,17.02562,33.03328,56.2249,23.55528,NA,NA,NA,NA,NA,8.775779,NA,NA,NA,NA,149.1882,212.8203,247.7496,377.51,211.9974874
23757,386.3382,370.981,391.2587,372.5882,408.3007,83.98656,77.28772,104.9718,93.14704,130.4879,156.7749,113.3553,186.0865,146.3739,101.0229,67.18925,46.37263,28.62868,26.61344,33.67429,55.99104,25.76257,62.02882,26.61344,25.25571,5.599104,NA,NA,NA,NA,5.599104,15.45754,23.85724,13.30672,4.209285684,117.5812,123.6603,391.2587,177.4229,433.5564255
35687,864.0109,811.145,910.8596,804.4983,930.3107,77.14383,102.5239,85.4852,112.4567,106.4814,361.0331,521.6657,624.9263,588.2353,437.134,209.8312,147.755,114.9629,126.8743,151.3156,95.65835,138.7088,120.8584,95.15571,95.27279,NA,3.015409,2.947766,NA,NA,3.085753,6.030818,2.947766,NA,2.802140836,589.3788,660.3745,539.4411,406.5744,229.7755485
